NAME|ANNOTATION|TEXTUAL_DESCRIPTION|CREDITS|SEMESTER|EXAMINATION|STRUCTURAL_INFO|NONE
Advanced course in Mycology|The course is aimed on demonstration of local mycobiota, identification of fungi based on phenotype traits, but above all on work on student projects. During the course, molecular data are obtained from collected material and students evaluate the results from both phenotype and molecular data.The course is running usually in late August/September in Czech Republic or Poland and is organized jointly with University of Warsaw and Copenhagen University. For the AY 2022/2023 we will go to Góry Stolowe in August 28th - September 3nd 2023. Students cover the costs of the transportation (public transport strongly recommended - train to Náchod and then bus to Kudowa Zdroj) and may be also moderately contributing to joint shopping of food (cca 500 CZK), will be made clear before the course, depending on other costs. In the week before the actual course, a &quot;practical lecture&quot; will take place at the faculty. The lecture will be aimed at molecular data - editing, assembling, making simple phylogenies using online tools. It is recommended that we meet personally at the faculty (Seminárium of the Department of Botany), but on-line participation is also possible (the course will be in a hybrid mode running jointly with students from Warsaw and Copenhagen). The date will be selected later, but most probably, the lecture will take place on 24. or 25. August, around 10 a.m. - 1 p.m.|Student participate on all field trips, collect their own material and identify it based on combination of phenotype and molecular data. Students also participate on preparation of herbarium specimens, databasing and workshops during the course. The last day of the course, students present results of their projects at a "conference".|letní|4|letní s.:1/1, Z [HT]|Anglický název:Advanced course in MycologyČeský název:Pokročilý kurz z mykologieZajišťuje:Katedra botaniky (31-120)Fakulta:Přírodovědecká fakultaPlatnost:od 2022 do 2022Způsob provedení zkoušky:letní s.:Počet míst:10Minimální obsazenost:neomezenVirtuální mobilita / počet míst:neStav předmětu:vyučovánJazyk výuky:angličtinaPoznámka:předmět lze zapsat opakovaněpovolen pro zápis po webu   |
Advanced earth observation for urban and population studies|The subject presents advanced remote sensing technics for urban and population studies.Students attending this subject should have good knowledge in remote sensing.Students are evaluated based on submitted results of exercises and presentation of selected topic (analysis of selected article).|Introduction to urban and population remote sensing Optical data for urban and population studiesRADAR data for UPS Thermal data for UPSTime series of EO for UPS3D - high resolution modelling for UPS Case studies – article analysisPresentation of article analysisPředmět vznikl v rámci projektu ESF pro VŠ II na UK, reg. č.: CZ.02.2.69/0.0/0.0/18_056/0013322|zimní|5|zimní s.:1/2, Z+Zk [HT]|Anglický název:Advanced earth observation for urban and population studiesČeský název:Pokročilé metody pozorování Země v urbánních a populačních studiíchZajišťuje:Katedra aplikované geoinformatiky a kartografie (31-370)Fakulta:Přírodovědecká fakultaPlatnost:od 2022Způsob provedení zkoušky:zimní s.:Počet míst:neomezenMinimální obsazenost:neomezenVirtuální mobilita / počet míst:neStav předmětu:vyučovánJazyk výuky:angličtina, češtinaPoznámka:povolen pro zápis po webu   |
Advanced GIS and Database Techniques for Urban and Population Studies|The course focuses on advanced ADVANCED GIS AND DATABASE TECHNIQUES FOR URBAN AND POPULATION STUDIES.  Students meet with GIS technologies and spatial data using in the study of urban areas as well as relevant projects and  initiatives focussed on URBAN AND POPULATION STUDIES. Emphasis is placed on practical introduction to databases and GIS tools: spatial analysis, 3D visualization... Students investigate the most important spatial data databases about status and changes in urban areas, e.g. Urban Atlas, HRL from Copernicus Programme|• Attendance: 2 absences allowed, more absences require apology and justification• Proper completion and timely submission of tasks to Moodle.• Students have two options to correct the tasks. The corrected task has to be sent within 10 days to MoodlePředmět byl inovován v rámci projektu ESF pro VŠ II na UK, reg. č.: CZ.02.2.69/0.0/0.0/18_056/0013322|zimní|5|zimní s.:0/2, Z [HT]|Anglický název:Advanced GIS and Database Techniques for Urban and Population StudiesČeský název:Pokročilé GIS a geodatabázové metody v urbánních a populačních studiíchZajišťuje:Katedra aplikované geoinformatiky a kartografie (31-370)Fakulta:Přírodovědecká fakultaPlatnost:od 2022Způsob provedení zkoušky:zimní s.:Počet míst:neomezenMinimální obsazenost:neomezenVirtuální mobilita / počet míst:neStav předmětu:vyučovánJazyk výuky:angličtinaPoznámka:povolen pro zápis po webu   |
Advanced image analysis with focus on - ImageJ, Arivis Vision 4D, SVI Huygens||Information about the course Title – Advanced image analysis with a focus on - ImageJ, Arivis Vision 4D,     Imaris, SVI Huygens, MATLAB Code – MB100T01 Guarantor –  Msc. Zuzana Burdíková, Ph.D All lecturers – Msc. Zuzana Burdíková, Ph.D, Ing. Martin Schätz, Ph.D. , MSc. Ondřej Šebesta Faculty, department – Faculty of Science, Laboratory of Fluorescent and Confocal Microscopy, Charles University Credits – 02 ECTS Language of instruction - English Flagship and/or transversal skills – Flagship 4, Critical thinking Capacity - 15 Examination – project Minimal requirements, prerequisites, conditions for selection, and enrolment of students: Basic knowledge of Image J is required. The course is aimed at explaining the workflow in Image Analysis, and processing and it is assumed that the student is interested in Image Analysis. Virtual mobility - yes How the course will be taught (one week) and the starting date –block; on 8.1.2024 - 12.1.2022 of the WINTER semester of 2021,  Syllabus  ImageJ: Theoretical introduction, an overview of graphical formats Bioformats, PSF, Nyquist, calculation, data export, shading correction, chromatic correction,, aligning, stitching, deconvolution, Segmentation (thresholding, watershed, object detection), Colocalization. Pearson Statistics, Manderson Statistics, Statistical tests, FIJI, Macros, Plug-insPractical part: a) Filters, Segmentace (threshold, WEKA),b) Deep Learning modely (STARDist, Noise2Void a další) , c)Quantification.Colocalization, Macros, Workflow  Huygens: Theoretical background, an overview of algorithms, measured vs theoretical PSF, Image formation, PSF, Convolution,  positivity constraint, regularization, artifactsPractical part:  deconvolution, stitching in Huygens praktické cvičení - Huygens, FIJI - datasetexport do FIJI tracking Huygens stitching Arivis Vision4D: Introduction to Arivis Vision4D, Overview of biological applications, batch processingPractical demonstrationZEN and Arivis Volume Fusion with Arivis Vision4DImporting images with arivis Vision4D, Importing Complex Images with arivis Vision4DChannel ColorsTime series with arivis Vision4DManual stitching and alignment using the tile sorterSave important views with bookmarks and create high-resolution screenshotsCreate movies with the storyboard and video exportSplit view mode, projection gallery, and info viewerColor handling, visualization settingsNew Analysis Pipeline User Interface with arivis Vision4D, segmentation, filters, custom featuresWatershed vs Blob Finder Segmenters with Arivis Vision 4DAnnotations & Annotation SettingsCopy & Transform Objects3D MeasurementsBasics of Parent-Child AnalysisTrackingMembrane Based SegmenterImport & Saving of Analysis Pipelines arivis Vision4DDistance MeasurementsData sets export of next processing  (statistics) Max int. projection, transparency mode Working with ResultsTable from the workflow for MatLab & Python Collab and Statistics Theoretical part: Python introduction, Python/Collab, Statistics - best practicePractical part : PandasBokehHigh-level plottingStatisticsBig Data (table) statistics MatlabRepresentation of numbersSymbolic mathematicsAlgebraVariablesProgram management1D VisualizationTeXImport image data2D visualization3D visualizationToolboxesIntroduction to GUI|zimní|2|zimní s.:0/5, Z [DS]|Anglický název:Advanced image analysis with focus on - ImageJ, Arivis Vision 4D, SVI HuygensČeský název:Pokročilá analýza obrazu se zaměřením na software - ImageJ, Arivis Vision 4D, SVI HuygensZajišťuje:Sekce biologie (31-101)Fakulta:Přírodovědecká fakultaPlatnost:od 2022 do 2022Způsob provedení zkoušky:zimní s.:Počet míst:15Minimální obsazenost:neomezenVirtuální mobilita / počet míst:ano / 15Kompetence:4EU+ Flagship 4Stav předmětu:vyučovánJazyk výuky:angličtinaPoznámka:povolen pro zápis po webupředmět má cyklickou výuku   |
Advanced Metamorphic Petrology|Dear students, This curse will take place online and will start on October 5, 2020. All details about the teaching materials can be found in the environment of Google Meet and Google Classroom at this link: https://classroom.google.com/c/MTczNzAxODcyMjU5?cjc=avnti2jThe course is taught in English when at least one international student is enrolled. Understanding of geological processes, chemical equilibrium among minerals and ionic exchange as result of changing temperature are main goals of this course. Reactions in minerals, temperature effect on reaction among minerals, basics of thermodynamics, construction of P-T-X diagrams and estimate cooling rate of metamorphic rocks during exhumation well be also discussed. Students can learn some available software for thermobarometric calculations|Gill, R. 1989. Chemica fundamentals of Geology. Chapman & Hall, London, New York, Tokyo, pp.254Gangoly J. 1991. Diffusion, Atomic ordering and mass transport. Advances in Physical Geochemistry, vol 8Saxena S.K. and Aranovich L.Ya. 1983. Kinetics and equilibrium in mineral reactions. Advances in Physical Geochemistry, V3 SpringerChatterjee, N.D. (1991): Applied mineral thermodynamics. Springer-Verlag, 321 p.Yardley, B. W. D. (1989): An introduction to metamorphic petrology, Longman earth science series.Zápočet je udělen za odevzdání korektně vyřešených úkolů zadaných během kurzu. Pro účast na zkoušce je třeba tyto úkoly odevzdat.Zkouška je v rozsahu probírané látky.1) Úvod do fyzikálních a chemických procesů minerálů a hornin, 2) Energie v chemickém a minerálním systému, 3) Stabilní, nestabilní a metastabilní minerály, 4) Pravidla termodynamiky, 5) Rovnováha v geologických systémech, 6) Fázové diagramy v P-T, T-X a P-X prostorech, 7) Kinetika geologických procesů (nerovnovážné struktury, reakční lem, zonárnost minerálů, exoluční lamely),  8) Krystalizace v systému s tuhými roztoky, 9) závislost rychlosti reakce na teplotě, 10) difúze v minerálech, 11) geospeedometria ionové výměny, 12) Termobarometrie ionové výměny, 13) Úloha fluid v metamorfovaných horninách a jejich vliv na minerální reakce, 14) Geotermobarometrie a aplikace programu TWQ v petrologii.V rámci cvičení budou řešené příklady na výpočet entalpie, entropie a gibbsovy energie systému. Odhad rychlosti chlazení systému a aplikace programu TWQ a Reaction též budou součástí cvičení.|zimní|4|zimní s.:2/1, Zk [HT]|Anglický název:Advanced Metamorphic PetrologyČeský název:Pokročilá metamorfní petrologieZajišťuje:Ústav petrologie a strukturní geologie (31-440)Fakulta:Přírodovědecká fakultaPlatnost:od 2021Způsob provedení zkoušky:zimní s.:Počet míst:neomezenMinimální obsazenost:3Virtuální mobilita / počet míst:neStav předmětu:vyučovánJazyk výuky:angličtina, češtinaPoznámka:povolen pro zápis po webu   |
Advanced methods in DNA sequence and multilocus data analyses|The main aim is to learn how to perform an independent analysis of a dataset of molecular markers in an extent faced by students during their research work.  The core of the work is thus hands-on practical experience with analysis of empirical data, supervised by the teachers - the format is approximating real work on own data generated during their independent research work (e.g. during master or PhD project). Sample datasets will be always provided, an analysis of own data in the project work is possible and welcomed but not required. Previous experience with scripting / R environment is welcome but not strictly required.Course will be taught in 2021/2022 in English, in six half-days blocks on fridays 8:30-12:3008.10. Lesson 1 - DNA sequences (basic processing)15.10. Lesson 2 - Multilocus data (microsatellites)05.11. Lesson 3 - Multilocus data (SNPs)19.11. Lesson 4 - DNA sequences (multispecies phylogeny reconstructions, molecular dating)03.12. Lesson 5 - DNA sequences (HybSeq data analysis)07.01. or 14.01. Lesson 6 Combined analysesTo get an idea about the format and scope, an overview about previous year is available at this link (NB the actual schedule will differ, all enrolled students will be informed) https://botany.natur.cuni.cz/ecolgen/node/81.|Hall BG (2011) Phylogenetic trees made easy. 4th edition. Sinauer Hartl DL & Clark AG (2007): Principles of Population Genetics. 4th edition. SinauerDalší výukové materiály viz stránky kurzu https://botany.natur.cuni.cz/ecolgen/node/81Hall BG (2011) Phylogenetic trees made easy. 4th edition. SinauerHartl DL & Clark AG (2007): Principles of Population Genetics. 4th edition. Sinauer For course materials please see  https://botany.natur.cuni.cz/ecolgen/node/81V průběhu kurzy student/ka vypracuje "projekt" - samostatnou analýzu a interpretaci konkrétního reálného datasetu - a v průběhu jednoho z kurzů jej odprezentuje ostatním účastníkům kurzu (vlastní data výhodou, ale ne nutností). Zápočet se uděluje za vhodně zpracovaný a prezentovaný "projekt".Every student selects a topic and will run such a "homework project" i. e. will process a provided sample/own dataset using the presented tools and share their results with others during a short presentation. Credits will be given for the presentation of such own project work.Přihlášení studenti by měli mít základní teoretické znalosti o analýze sekvenčních a multilokusových molekulárních dat, tvorbě fylogenetických stromů a populační genetice. Před přihlášením je vhodné mít absolvovaný alespoň jeden z následujících kurzů:  Využití molekulárních markerů v systematice a pop. biol. rostlin (MB120P44, T. Fér), nebo Kladistika a další metody rekonstrukce evoluce (MB120P83, K. Marhold) nebo Molekulární taxonomie (MB160P21, V. Hampl)|zimní|3|zimní s.:1/2, Z+Zk [HT]|Anglický název:Advanced methods in DNA sequence and multilocus data analysesČeský název:Pokročilé metody hodnocení sekvencí DNA a multilokusových datZajišťuje:Katedra botaniky (31-120)Fakulta:Přírodovědecká fakultaPlatnost:od 2022Způsob provedení zkoušky:zimní s.:Počet míst:neomezenMinimální obsazenost:neomezenVirtuální mobilita / počet míst:neStav předmětu:vyučovánJazyk výuky:angličtinaPoznámka:povolen pro zápis po webu   |
Advanced Organic Chemistry|This course covers selected areas from organic chemistry, including asymmetric aminocatalysis and H-bonding catalysis, transition metal catalyzed multicomponent and asymmetric reactions, and radical functionalization reactions and radical cascades.|Z: Carey F.A., Sundberg R.J.: Advanced Organic Chemistry,Part A, Springer, New York, DOI:10.1007/978-0-387-44899-2Z: Carey F.A., Sundberg R.J.: Advanced Organic Chemistry,Part B Springer, New York, DOI:10.1007/978-0-387-71481-3D: P. I. Dalko: Comprehensive Enantioselective Organocatalysis: Catalysts, Reactions, and Applications, 2013, Wiley‐VCH Verlag GmbH & Co. KGaA, DOI:10.1002/9783527658862D: Robert H. Crabtree: The Organometallic Chemistry of the Transition Metals, 2014, John Wiley & Sons, Inc., DOI:10.1002/9781118788301D: H. Togo: Advanced Free Radical Reactions for Organic Synthesis, 2004 Elsevier B.V., https://doi.org/10.1016/B978-0-08-044374-4.X5000-2Requirements for study control:examination - written exam with score above 60%The subject covers following topics:1. Catalysis with covalently bound organocatalysts (enamine, iminium, NHC, etc.) - single transformations, domino reactions, application in total synthesis.2. Catalysis with non-covalently bound organocatalysts (thio-ureas, phosphoric acids, amides, etc.) and multifunctional catalysis - single transformations, domino reactions, application in total synthesis.3. Introduction to transition metal-catalyzed reactions: mechanisms of transition metal catalyzed reactions, type and properties of ligands, effect of additives on reaction outcomes,C-C, C-N, C-S, C-N, C-P bond forming reactions.4. Activation of unreactive C-O, C-C, C-H bonds, transition metal catalyzed halogenations.5. Transition metal-catalyzed multicomponent reaction - introduction to multicomponent reactions, examples of multicomponent reactions, transition metal-catalyzed multicomponent reactions.6. Transition metal-catalyzed reactions of allenes.7. Transition metal-catalyzed asymmetric reactions: Sharpless epoxidation and dihydroxylation, Jacobsen epoxidation, Noyori hydrogenation, transfer hydrogenation, allylic substitution, cyclopropanation, carbonyl addition reactions.8. Transition metal-catalyzed site-selective functionalization of complex molecules: (C sp3) H activation, metallocarbenes.9. Radicals, carbenes and nitrenes: electronic structure, general reactivity patterns, polar effects, reactivity of triplet carbenes and nitrenes.10. Radical functionalization reactions, radical addition reactions, radical cyclization reactions.11. Radical cascade reactions and applications in total synthesis.12. Photochemical radical reactions, emerging technologies of radical chemistry: (photo)redox catalysis, radical catalysis, application of radicals in materials and biology.The applicants should have a knowledge of basic organic chemistry, at least at the level discussed in John McMurry: Organic Chemistry, 8th ed. Brooks/Cole 2012.Applicants should have an intermediate knowledge of organic chemistry and be familiar with principles of organic synthesis.|letní|0|letní s.:3/0, Zk [HT]|Anglický název:Advanced Organic ChemistryZajišťuje:Katedra organické chemie (31-270)Fakulta:Přírodovědecká fakultaPlatnost:od 2021Způsob provedení zkoušky:letní s.:Počet míst:neomezenMinimální obsazenost:neomezenVirtuální mobilita / počet míst:neStav předmětu:vyučovánJazyk výuky:angličtinaPoznámka:předmět je určen pouze pro doktorandypovolen pro zápis po webu   |
Advanced Plant Cell Biology|Aim:Advanced level study of the contribution of the internal cellular architecture, the cytoskeletonand associated proteins, to cell function in eukaryotic cells.Learning outcomes:1) Subject-specific Knowledge:•	Knowledge of the contribution of the cytoskeleton and associated structures to cell architecture.•	Knowledge of how cell function is determined by the internal cell architecture.•	Knowledge of the different mechanisms that can regulate cytoarchitecture distribution and therefore function.•	Understanding of the link between cytoarchitecture and mutation (loss of/Altered function).2) Key Skills:•	Literacy, in being able to consult and extract information from printed and on-line archives.•	Data analysis, in interpretation and critical analysis of data relevant to cell architecture.•	Self-motivation, in self-guided learning.Modes of Teaching and Learning•	 Lectures to deliver subject-specific knowledge.•	Self-guided learning contributing to subject-specific knowledge and self-motivation.•	Small group work for the appreciation of contemporary topics focussed on recent publications.•	Student-led presentations in a PechaKucha style.|Aim:Advanced level study to appreciate how the cytoskeleton and associated proteins areintegrated into the cell architecture of organelles and membrane compartments in plant cells.Study of links between loss or altered function in cellular architecture and signalling.Content and examimation style may be subject to change based on student backgroundAim:Advanced level study to appreciate how the cytoskeleton and associated proteins areintegrated into the cell architecture of organelles and membrane compartments in plant cells.Study of links between loss or altered function in cellular architecture and signalling.Content and examimation style may be subject to change based on student background•	An appreciation of the differences between the organisation and dynamics of the microtubule and actin cytoskeletons for function in plant cells and potential use in biotechnology.•	Understanding the involvement of the cytoskeleton in plant signalling pathways ether shared with other eukaryotic systems or unique to plants.•	A focus on the novel plant cytoskeleton and membrane interactions.•	An appreciation of the differences between the organisation and dynamics of the microtubule and actin cytoskeletons for function in plant cells and potential use in biotechnology.•	Understanding the involvement of the cytoskeleton in plant signalling pathways ether shared with other eukaryotic systems or unique to plants.•	A focus on the novel plant cytoskeleton and membrane interactions.|letní|3|letní s.:2/0, Zk [HT]|Anglický název:Advanced Plant Cell BiologyČeský název:Pokroky v buněčné biologii rostlinZajišťuje:Katedra experimentální biologie rostlin (31-130)Fakulta:Přírodovědecká fakultaPlatnost:od 2020Způsob provedení zkoušky:letní s.:Počet míst:neomezenMinimální obsazenost:5Virtuální mobilita / počet míst:neStav předmětu:nevyučovánJazyk výuky:angličtinaPoznámka:povolen pro zápis po webu   |
Advanced Practical Biochemistry|The practical course runs on both days in one week, i.e. both on Mondays and Tuesdays. The task schedule is available upon registration in Moodle and will be created after the first introductory meeting at the beginning of the course where students pass and sign the safety training and also divide into working groups (two people) - the personal attendance at this meeting is mandatory!The aim of this practical course is to introduce students to both common and modern instrumental biochemical methods, such as extraction of compounds from natural material, UV/VIS absorption spectrophotometry, chromatographic techniques (HPLC, FPLC, ion exchange, hydrophobic, gel permeation and affinity chromatography, chromatography on reversed phase), electromigration methods (agarose, SDS polyacrylamide and native electrophoresis for separation and visualization of DNA or proteins, Western blot - electroblotting of proteins with their immunodetection), crystallization of proteins and methods of their structural determination, PCR amplification of DNA and related techniques of work with DNA (cloning, real-time PCR resp. quantitative Q-PCR, next-generation DNA sequencing), as well as practical session in computer room devoted to basics of bioinformatics and work with PyMol software for visualization of the structure of biomacromolecules.The course is finished by another session on searching in biochemical information sources, work with scientific literature and evaluation of experimental results, introduction to principles of text structuring and formal requirements relevant to scientific literature (i.e. bachelor thesis or scientific publications) and subsequent writing of a final report for one given practical task in a form of small scientific work, its timely submission and oral discussion (&quot;defence&quot;).Theoretical introduction to all used techniques, supervision of the exercises and discussion of the obtained results is provided in English to all Erasmus students. The written final report is accepted in English.|Zápočet: úspěšné absolvování zadaných úloh, vypracování přiděleného protokolu v odpovídající kvalitě, jeho včasné odevzdání a diskuse.Credit: successful work in the laboratory on all given laboratory tasks, delivery of the final report in required quality and in time, oral discussion of the report.Tasks:The course is finished by delivering a short report from one given lab task in a form of short scientific writing.-----The course was innovated within the project ESF for University II at Charles University, reg. No .: CZ.02.2.69/0.0/0.0/18_056/0013322Praktikum je určeno pro studenty 3. ročníku bakalářského studia biochemie. Vzhledem k tomu, že se zaměřuje na pokročilé instrumentální biochemické metody, předpokládáme, že účastníci jsou kromě teoretické znalosti biochemie vybaveni také znalostmi základních chemických a biochemických metod. Tedy že již úspěšně absolvovali Praktikum z laboratorní techniky a také Biochemické praktikum (MC250C31N), popř. ekvivalentní předměty.|zimní|5|zimní s.:0/4, Z [HT]|Anglický název:Advanced Practical BiochemistryČeský název:Pokročilé praktikum z biochemieZajišťuje:Katedra biochemie (31-250)Fakulta:Přírodovědecká fakultaPlatnost:od 2021Způsob provedení zkoušky:zimní s.:Počet míst:48Minimální obsazenost:neomezenVirtuální mobilita / počet míst:neStav předmětu:vyučovánJazyk výuky:angličtinaJe zajišťováno předmětem:MC250C17AVysvětlení:in EnglishDalší informace:https://dl2.cuni.cz/course/search.php?search=MC250C17NPoznámka:povolen pro zápis po webu   |
Advanced Practical Biochemistry for KATA|The aim of this practical course is to introduce students to both common and modern instrumental biochemical methods. Besides commonly used techniques, such as extraction of compounds from natural material, UV/VIS absorption spectrophotometry, spectrofluorimetry, chromatographic techniques (HPLC, FPLC, ion exchange, gel permeation and affinity chromatography), electromigration methods (agarose electrophoresis, SDS-PAGE, Western blot - electroblotting with immunodetection), and PCR amplification of DNA, as well as basic bioinformatic training, practical utilisation of biochemical information sources, work with scientific literature and evaluation of experimental results. The course is finished by introduction to principles of text structuring and formal requirements relevant to scientific literature (i.e. bachelor thesis or scientific publications) and subsequent writing of a final report for one given practical task in a form of small scientific work, its timely submission and oral discussion.The practical course runs on two days in one week, i.e. both on Mondays and Thursdays. The task schedule is available upon registration in Moodle and will be created after the first introductory meeting at the beginning of the course where students pass and sign the safety training and also divide into working groups (two people) - the personal attendance at this meeting is mandatory!Theoretical introduction to all used techniques, supervision of the exercises and discussion of the obtained results is provided in English to all Erasmus students. The written final report is accepted in English.Credit: successful work in the laboratory on all given laboratory tasks, delivery of the final report in required quality and in time, oral discussion of the report.|Doporučená literatura:Krajhanzl A, Hladík J et al.: Biochemické metody. Návody k praktickým cvičením. UK Praha 1991.Anzenbacher P, Kovář J: Metody chemického výzkukmu pro biochemiky, MŠ Praha, 1986No specific literature is required, but we strongly recommend reading the material, manuals, and handbooks of each biochemical laboratory method provided in Moodle.Zápočet: úspěšné absolvování všech zadaných úloh, vypracování přiděleného protokolu v odpovídající kvalitě, jeho včasné odevzdání a diskuseCredit: successful work in the laboratory on all given laboratory tasks, delivery of the final report in required quality and in time, oral discussion of the report.The course includes comprehensive practical training in advanced biochemical laboratory methods, visualization of biomolecules, training in working with scientific literature, citation manager, and writing a short thesis.Practical tasks include:The course is finished by writing a short report from one given lab task in a form of short scientific report.-----The course was innovated within the project ESF for University II at Charles University, reg. No .: CZ.02.2.69/0.0/0.0/18_056/0013322Praktikum je určeno pro studenty 2. a 3. ročníků bakalářského studia chemických popř. biologických oborů. Vzhledem k tomu, že se zaměřuje na pokročilé instrumentální biochemické metody, předpokládáme, že účastníci jsou kromě teoretické znalosti biochemie vybaveni také znalostmi základních chemických a biochemických metod. Tedy, že již úspěšně absolvovali Praktikum z laboratorní techniky a také Biochemické praktikum (MC250C31N), popř. ekvivalentní předměty, což může být ověřeno vstupním testem.V případě zavedení omezení např. v souvislosti se zavedením protiepidemických opatření může dojít ke změně podmínek.The laboratory and practical tasks are intended for students of the 2nd and 3rd year of bachelor's studies in chemistry or biological disciplines. Given that it focuses on advanced instrumental biochemical methods, we assume that participants already acquired knowledge of basic chemical and biochemical methods and have a basic theoretical background in biochemistry. That is, they have already successfully completed courses Laboratory Technology Laboratory and also the Biochemical Laboratory (MC250C31N), or equivalent subjects, which can be verified by an entrance test.If restrictions are imposed, for example in connection with the introduction of anti-epidemic measures, the conditions may change.|letní|4|letní s.:0/3, Z [HT]|Anglický název:Advanced Practical Biochemistry for KATAČeský název:Pokročilé praktikum z biochemie pro KATAZajišťuje:Katedra biochemie (31-250)Fakulta:Přírodovědecká fakultaPlatnost:od 2021 do 2022Způsob provedení zkoušky:letní s.:Počet míst:48Minimální obsazenost:neomezenVirtuální mobilita / počet míst:neStav předmětu:vyučovánJazyk výuky:angličtinaJe zajišťováno předmětem:MC250C03Vysvětlení:in EnglishDalší informace:https://dl2.cuni.cz/course/search.php?search=MC250C03Poznámka:povolen pro zápis po webu   |
